39.15	588
40.13	48
41.14	552
41.53	12
42.54	708
43.12	636
43.16	660
43.23	624
43.33	768
44.63	96
45.03	120
45.44	756
45.61	792
45.78	564
45.93	696
46.15	540
46.40	744
46.53	84
46.55	600
47.52	684
48.67	804
49.00	612
49.15	24
49.20	648
49.38	576
49.90	720
49.93	204
49.93	216
50.45	144
50.73	0
50.75	672
51.65	732
52.13	780
53.93	270
56.13	156
59.85	168
60.03	342
61.50	204
61.55	216
65.48	486
70.02	474
70.80	204
70.88	216
73.83	450
73.83	462
74.98	498
75.17	330
76.06	390
76.83	192
77.69	510
78.32	378
80.65	96
81.13	108
82.80	48
83.43	72
83.52	282
83.55	306
84.25	228
84.81	402
85.48	354
86.08	120
86.65	180
87.05	36
87.78	192
88.90	84
89.38	522
90.03	240
90.78	366
91.74	534
91.80	132
93.73	252
94.18	294
94.35	228
96.75	180
96.98	192
97.60	24
97.80	264
100.00	240
103.43	228
104.40	252
105.25	216
105.37	318
105.88	180
106.90	204
108.40	264
109.03	240
111.75	192
113.33	252
114.83	96
116.70	228
117.28	264
117.30	60
119.10	216
121.18	204
121.35	72
122.93	48
125.55	192
125.60	108
126.23	252
126.40	240
128.38	60
128.98	120
129.60	180
129.60	228
130.28	84
130.43	36
130.48	96
130.73	264
131.15	216
131.96	810
132.03	72
133.35	204
133.83	48
135.53	132
136.30	0
138.56	1002
140.18	192
142.95	1074
143.09	978
144.95	894
145.08	216
145.84	846
146.50	930
146.66	942
147.37	954
148.30	204
149.56	966
150.15	144
150.47	822
153.29	1038
154.42	858
155.74	906
158.82	1014
158.88	918
159.33	156
159.74	1062
159.85	168
160.48	990
161.02	870
162.73	834
164.33	1050
165.42	882
166.05	24
179.63	1026
38.48	565
39.70	25
42.17	541
42.79	637
43.30	1
43.52	709
43.76	757
43.79	649
43.88	733
44.03	97
44.33	601
44.88	577
45.18	109
45.61	769
45.78	61
45.96	553
46.63	13
46.76	625
46.76	793
46.79	661
47.40	37
47.48	745
47.48	685
48.18	697
48.29	721
48.63	781
48.77	613
48.80	193
50.38	157
50.50	217
51.18	205
52.18	589
52.20	673
54.73	805
57.08	391
60.48	193
62.15	217
62.70	205
67.00	487
68.64	283
69.88	193
71.55	217
71.98	205
73.68	145
75.37	499
75.70	379
76.00	451
77.72	523
79.48	367
80.33	73
80.94	355
81.76	463
82.03	97
83.25	331
83.29	307
83.33	121
83.96	535
84.13	61
84.25	37
85.12	403
85.23	49
85.70	181
86.98	253
87.35	85
87.45	109
88.13	229
88.70	169
92.07	511
92.63	241
92.72	475
95.48	265
95.55	295
95.83	181
96.67	319
96.98	25
97.00	253
98.13	229
103.33	241
103.60	343
103.81	271
104.68	217
104.95	181
105.10	1
105.38	265
106.00	253
106.63	193
107.05	205
107.18	229
112.25	241
114.30	265
115.88	61
117.25	49
118.35	73
118.38	253
118.88	217
119.95	109
121.00	205
121.60	193
123.78	181
123.93	229
124.10	97
125.35	241
126.30	61
127.18	49
128.65	37
128.93	265
129.23	121
130.40	85
131.20	253
131.23	217
132.08	73
132.20	109
133.38	205
135.28	193
135.78	97
137.82	1003
139.60	1015
139.79	955
140.29	883
140.83	967
142.90	157
144.93	205
146.96	1051
148.36	931
148.59	1027
148.71	943
152.13	991
154.92	1039
155.16	859
155.27	871
155.99	919
156.11	823
156.40	895
156.83	13
156.89	811
158.05	1063
158.15	1
160.89	979
162.49	907
165.65	145
165.92	847
166.58	835
167.85	25
180.07	1075
205.50	169
39.61	758
41.81	794
44.07	782
44.38	614
44.59	746
45.65	626
45.97	770
46.00	602
46.53	554
46.66	650
46.96	542
47.38	86
47.60	14
48.10	590
48.10	62
48.43	2
48.47	674
48.58	686
49.03	638
49.50	206
49.59	698
50.16	578
50.17	734
51.17	566
51.17	710
51.64	722
51.85	26
52.23	146
52.35	662
52.45	806
52.60	158
55.03	194
57.92	464
61.13	206
61.55	308
63.38	380
66.20	194
66.79	344
66.84	332
67.25	524
69.93	296
70.50	206
71.05	440
74.25	536
75.04	500
75.43	194
77.93	254
78.29	272
79.23	86
80.05	134
80.41	368
81.23	50
82.74	488
82.93	98
84.50	38
84.94	284
85.26	356
85.73	230
85.75	110
85.93	404
87.75	74
87.95	242
88.05	254
88.08	86
89.20	122
90.43	266
91.19	452
91.45	218
95.83	230
96.51	476
97.23	254
98.80	242
98.93	182
100.38	266
100.92	392
101.38	218
101.53	512
103.84	320
104.88	230
106.28	206
107.75	242
108.28	170
108.75	182
109.38	266
109.68	194
110.35	218
111.38	254
114.84	1028
117.68	182
118.25	50
118.90	170
119.60	86
119.93	242
120.35	206
122.03	98
122.40	62
123.23	218
123.45	230
123.58	194
124.18	110
124.50	38
124.93	266
125.50	254
125.94	884
127.98	170
128.60	50
129.45	74
130.10	182
132.08	242
132.10	86
132.18	980
132.73	206
132.75	98
132.98	122
133.63	62
134.00	824
134.75	110
135.38	14
136.55	218
136.85	194
138.06	1004
140.15	920
142.01	836
142.78	26
144.26	944
146.13	254
147.18	1040
149.12	860
150.83	932
151.65	1076
151.75	206
152.23	992
153.32	1016
153.80	1064
