41.11	708
42.18	636
43.59	732
43.60	96
44.64	756
44.69	792
44.99	780
45.94	696
46.61	552
46.88	720
47.13	12
47.16	540
47.32	624
47.53	576
47.57	744
47.74	804
48.42	768
49.07	588
49.23	216
49.63	600
49.80	660
49.90	192
50.28	564
50.66	612
51.17	684
51.45	204
52.28	648
55.05	144
55.44	672
60.85	24
61.40	294
68.50	522
68.81	390
70.10	0
71.21	342
71.85	378
72.23	450
73.78	498
73.81	366
75.77	306
76.12	474
81.19	270
81.39	318
81.71	534
82.49	462
86.15	0
89.00	510
90.44	354
93.41	330
98.05	402
104.32	282
108.42	486
109.78	144
114.80	0
115.93	24
130.20	966
131.03	894
133.77	822
136.04	1050
137.15	834
139.98	156
140.80	24
142.28	810
142.46	942
143.61	870
143.63	1014
144.05	990
144.97	954
145.00	1062
146.30	930
146.98	0
147.78	1038
147.90	144
148.46	906
148.88	882
151.76	858
153.96	846
157.42	978
158.15	1002
168.92	1026
168.98	1074
172.27	918
174.30	168
188.33	24
197.50	156
208.65	144
223.18	12
235.23	144
39.15	589
40.10	49
41.14	553
41.88	13
42.54	709
43.12	637
43.16	661
43.23	625
43.33	769
44.33	97
45.03	85
45.33	121
45.44	757
45.61	793
45.78	565
45.93	697
46.15	541
46.40	745
46.55	601
47.30	25
47.52	685
47.55	1
48.13	157
48.67	805
49.00	613
49.20	649
49.38	577
49.90	721
50.38	205
50.75	673
51.65	733
52.13	781
53.93	271
57.90	193
60.03	343
65.48	487
70.02	475
73.83	451
73.83	463
74.23	145
74.98	499
75.17	331
76.06	391
76.75	217
77.69	511
78.32	379
83.52	283
83.55	307
84.81	403
85.48	355
89.38	523
90.68	169
90.78	367
91.74	535
94.18	295
95.73	25
101.30	253
105.37	319
109.98	157
114.03	1
131.96	811
133.18	1
138.56	1003
142.95	1075
143.09	979
144.95	895
145.84	847
146.50	931
146.66	943
147.37	955
149.56	967
150.47	823
151.33	13
151.73	157
153.29	1039
154.42	859
155.74	907
158.82	1015
158.88	919
159.74	1063
160.48	991
161.02	871
162.73	835
164.33	25
164.33	1051
165.42	883
173.50	145
174.83	1
179.63	1027
188.08	169
197.30	145
210.08	13
211.15	25
221.40	157
235.70	13
38.48	566
39.10	26
42.17	542
42.79	638
43.52	710
43.73	2
43.76	758
43.79	650
43.88	734
43.90	98
44.33	602
44.88	578
45.15	110
45.61	770
45.96	554
46.13	62
46.76	626
46.76	794
46.79	662
47.25	14
47.38	38
47.48	746
47.48	686
48.18	698
48.29	722
48.45	194
48.63	782
48.77	614
51.50	158
51.53	146
52.18	590
52.20	674
53.40	206
54.73	806
57.08	392
67.00	488
68.64	284
74.89	440
75.37	500
75.70	380
76.00	452
77.72	524
79.48	368
80.94	356
81.63	2
81.76	464
83.25	332
83.29	308
83.96	536
85.12	404
87.70	182
90.70	254
92.07	512
92.72	476
95.55	296
96.53	26
96.67	320
102.23	242
103.60	344
103.81	272
105.45	2
110.05	158
110.40	146
114.13	98
137.82	1004
139.60	1016
139.79	956
140.29	884
140.83	968
143.28	146
143.68	158
146.96	1052
148.36	932
148.59	1028
148.71	944
152.13	992
154.92	1040
155.16	860
155.27	872
155.99	920
156.11	824
156.40	896
